mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13544120788574218,0.02468727424132118,0.03150672912597656,0.006870631642173597,6,sqrt,6,50,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5555555555555556,0.5,0.4444444444444444,0.4117647058823529,0.7058823529411765,0.5235294117647059,0.10351587684682027,59
0.23197922706604004,0.07504667535550512,0.04629054069519043,0.021478348427096516,6,sqrt,6,100,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5555555555555556,0.5,0.4444444444444444,0.4117647058823529,0.6470588235294118,0.5117647058823529,0.08353749181004164,87
0.3594200611114502,0.1444333678459779,0.08338642120361328,0.04324258690079058,6,sqrt,6,150,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5555555555555556,0.5,0.4444444444444444,0.5294117647058824,0.6470588235294118,0.5352941176470588,0.06698629006702725,36
0.0670273780822754,0.02470055902996786,0.01356348991394043,0.00566061989172081,6,sqrt,9,25,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 25}",0.6111111111111112,0.5555555555555556,0.2777777777777778,0.47058823529411764,0.7647058823529411,0.5359477124183007,0.16080291087516663,31
0.07659406661987304,0.004203966249493137,0.016954517364501952,0.0012561718182145965,6,sqrt,9,50,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5130718954248367,0.10463641996749097,75
0.16593647003173828,0.0402641677367795,0.037313413619995114,0.013761212496343482,6,sqrt,9,100,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5,0.5,0.4444444444444444,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.09318253686523814,51
0.36761746406555174,0.15696945559717282,0.07300419807434082,0.03753701650560981,6,sqrt,9,150,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5,0.5,0.4444444444444444,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.09318253686523814,51
0.03670134544372559,0.0003990652598506682,0.009773874282836914,0.0007461365500564174,6,log2,3,25,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5294117647058824,0.6470588235294118,0.5686274509803921,0.040501786627005675,2
0.07236223220825196,0.0034884803840026443,0.019745922088623045,0.007124427265689624,6,log2,3,50,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.4444444444444444,0.6111111111111112,0.47058823529411764,0.6470588235294118,0.5457516339869282,0.07815856694837517,23
0.31613955497741697,0.056233880387588454,0.06462578773498535,0.011534571906639863,6,log2,3,100,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.5555555555555556,0.47058823529411764,0.6470588235294118,0.5457516339869282,0.06032931115929061,23
0.42703804969787595,0.15567560904397043,0.09876294136047363,0.03697063233988438,6,log2,3,150,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5,0.5,0.4117647058823529,0.6470588235294118,0.5228758169934641,0.0773067518957775,69
